"locus","chr","start","stop"
"AT1G78010","1",29333535,29336297
"AT1G31360","1",11232422,11237412
"AT1G65340","1",24268135,24269646
"AT1G01980","1",340374,341999
"AT1G51660","1",19154575,19155675
"AT1G51670","1",19157142,19158344
"AT1G23100","1",8195867,8196336
"AT1G01970","1",338538,339905
"AT1G51640","1",19149862,19151844
"AT1G51650","1",19152680,19153641
"AT1G31335","1",11217117,11217329
"AT1G65342","1",24271276,24271700
"AT1G22985","1",8135346,8135825
"AT1G31410","1",11247094,11249345
"AT1G57770","1",21395254,21398135
"AT1G21700","1",7620156,7623978
"AT1G57780","1",21403000,21404228
"AT1G10600","1",3503765,3505190
"AT1G01910","1",313595,315831
"AT1G01920","1",316204,319507
"AT1G01900","1",310332,313011
"AT1G57790","1",21404578,21405636
"AT1G57760","1",21390082,21390429
"AT1G33750","1",12233769,12236348
"AT1G01930","1",320041,322809
"AT1G02110","1",392939,395434
"AT1G55190","1",20588450,20589019
"AT1G57800","1",21408747,21412283
"AT1G04650","1",1294893,1298903
"AT1G28070","1",9783082,9783864
"AT1G21695","1",7619132,7619785
"AT1G55200","1",20589309,20592049
"AT1G02120","1",395761,399720
"AT1G01880","1",306558,308991
"AT1G10585","1",3494115,3495104
"AT1G57830","1",21420309,21420803
"AT1G01830","1",298717,300441
"AT1G21710","1",7624439,7625869
"AT1G25155","1",8823052,8824821
"AT1G24620","1",8723893,8724453
"AT1G24625","1",8726009,8726638
"AT1G24610","1",8720906,8722711
"AT1G28090","1",9795826,9798891
"AT1G01940","1",323082,324719
"AT1G04640","1",1292541,1293248
"AT1G24650","1",8734570,8737315
"AT1G57820","1",21414342,21417902
"AT1G28080","1",9789826,9790918
"AT1G01840","1",303650,304108
"AT1G22980","1",8132649,8134165
"AT1G01860","1",304439,306275
"AT1G04645","1",1293853,1294239
"AT1G55210","1",20598057,20598620
"AT1G10580","1",3491560,3493665
"AT1G33760","1",12237944,12238498
"AT1G04660","1",1300668,1301306
"AT1G33770","1",12242126,12244462
"AT1G51570","1",19122358,19124688
"AT1G80990","1",30424421,30425192
"AT1G73720","1",27725059,27729722
"AT1G33811","1",12267918,12269690
"AT1G80980","1",30422184,30423440
"AT1G31420","1",11250360,11253516
"AT1G21660","1",7605924,7608835
"AT1G04710","1",1321941,1324556
"AT1G51560","1",19119900,19121859
"AT1G10620","1",3509001,3511975
"AT1G55150","1",20574634,20577141
"AT1G02080","1",373335,386682
"AT1G55140","1",20572503,20574332
"AT1G51580","1",19125612,19128102
"AT1G51600","1",19133176,19135252
"AT1G73710","1",27721190,27724165
"AT1G51590","1",19128315,19132132
"AT1G04730","1",1325385,1331086
"AT1G33810","1",12265084,12266655
"AT1G80950","1",30412653,30414935
"AT1G04680","1",1304052,1307780
"AT1G04670","1",1301985,1302532
"AT1G80930","1",30405774,30409499
"AT1G33780","1",12244799,12246034
"AT1G51550","1",19117646,19119291
"AT1G17490","1",6008669,6009165
"AT1G80960","1",30416065,30418220
"AT1G21670","1",7610409,7612520
"AT1G04700","1",1316919,1320653
"AT1G55170","1",20580578,20581706
"AT1G21680","1",7613028,7615148
"AT1G10610","1",3506463,3508752
"AT1G55180","1",20585057,20587629
"AT1G04690","1",1313662,1315420
"AT1G33800","1",12261480,12262456
"AT1G08750","1",2801283,2804392
"AT1G14020","1",4802930,4805111
"AT1G61560","1",22708875,22712032
"AT1G08390","1",2642220,2643103
"AT1G18870","1",6515486,6519176
"AT1G27490","1",9546373,9547073
"AT1G22340","1",7890464,7892090
"AT1G18860","1",6509494,6511209
"AT1G08400","1",2643348,2646005
"AT1G27660","1",9621701,9625666
"AT1G27650","1",9615152,9616042
"AT1G79440","1",29882525,29887275
"AT1G27640","1",9614463,9614906
"AT1G61730","1",22793447,22794577
"AT1G14030","1",4805493,4807440
"AT1G08370","1",2638355,2640367
"AT1G18890","1",6523468,6525736
"AT1G61740","1",22798365,22801020
"AT1G18880","1",6520800,6523241
"AT1G08380","1",2641004,2641739
"AT1G18850","1",6504928,6506127
"AT1G05410","1",1585504,1587268
"AT1G08410","1",2646307,2649106
"AT1G61520","1",22700152,22701149
"AT1G64620","1",24007288,24008460
"AT1G14060","1",4817354,4817893
"AT1G64625","1",24016878,24019181
"AT1G18830","1",6489309,6494218
"AT1G05210","1",1510469,1511485
"AT1G64630","1",24019920,24022114
"AT1G14010","1",4800385,4801790
"AT1G05440","1",1596374,1597843
"AT1G28650","1",10069547,10071082
"AT1G14040","1",4810488,4814543
"AT1G61550","1",22704866,22707826
"AT1G13680","1",4690409,4692702
"AT1G61540","1",22702498,22703706
"AT1G18840","1",6501068,6503435
"AT1G13670","1",4688201,4688878
"AT1G05420","1",1590073,1590753
"AT1G27480","1",9544607,9546168
"AT1G05430","1",1594227,1595731
"AT1G08360","1",2636231,2637694
"AT1G61720","1",22791326,22792757
"AT1G69920","1",26334395,26335537
"AT1G69910","1",26330166,26332076
"AT1G27620","1",9608444,9610432
"AT1G35880","1",13339851,13341228
"AT1G61700","1",22787105,22788112
"AT1G47220","1",17303676,17305197
"AT1G69930","1",26337735,26338690
"AT1G54690","1",20414607,20415206
"AT1G35860","1",13332047,13334050
"AT1G61580","1",22720833,22722402
"AT1G13690","1",4693380,4694179
"AT1G47250","1",17319220,17320900
"AT1G61690","1",22782825,22786782
"AT1G54680","1",20413211,20414482
"AT1G35850","1",13330510,13331506
"AT1G61570","1",22718897,22719473
"AT1G69900","1",26326520,26327816
"AT1G47240","1",17309043,17311308
"AT1G05450","1",1600004,1601086
"AT1G35890","1",13341300,13341953
"AT1G35900","1",13347504,13348433
"AT1G61563","1",22715081,22715329
"AT1G69550","1",26148836,26153374
"AT1G69560","1",26157755,26158906
"AT1G08340","1",2631308,2632669
"AT1G27500","1",9551629,9553654
"AT1G69540","1",26145306,26147159
"AT1G54700","1",20415898,20416269
"AT1G69570","1",26161771,26163230
"AT1G35910","1",13363200,13364965
"AT1G61710","1",22788859,22790576
"AT1G27630","1",9611647,9613967
"AT1G49950","1",18494439,18496713
"AT1G27510","1",9554945,9558293
"AT1G61566","1",22717265,22717492
"AT1G22380","1",7900522,7902332
"AT1G13700","1",4694475,4695600
"AT1G18810","1",6485709,6486872
"AT1G13650","1",4680571,4681903
"AT1G69485","1",26118533,26119342
"AT1G36000","1",13422567,13423023
"AT1G61760","1",22807440,22808114
"AT1G55770","1",20851039,20851566
"AT1G08430","1",2658800,2661029
"AT1G54760","1",20433912,20434397
"AT1G61750","1",22804613,22806318
"AT1G69490","1",26122233,26123222
"AT1G54740","1",20430839,20431738
"AT1G73700","1",27717554,27719630
"AT1G08420","1",2649959,2656564
"AT1G69500","1",26123960,26125909
"AT1G69510","1",26126779,26127725
"AT1G08440","1",2663027,2665343
"AT1G69480","1",26114187,26117479
"AT1G13610","1",4664008,4665975
"AT1G18740","1",6464125,6465273
"AT1G18750","1",6467266,6469640
"AT1G27470","1",9540368,9544218
"AT1G54770","1",20434803,20435815
"AT1G08460","1",2672527,2674469
"AT1G14070","1",4818548,4820150
"AT1G18730","1",6460625,6462107
"AT1G70000","1",26363674,26364635
"AT1G05140","1",1482681,1484006
"AT1G05150","1",1484280,1486706
"AT1G69460","1",26112054,26113160
"AT1G61770","1",22810220,22812370
"AT1G69470","1",26113575,26113997
"AT1G18780","1",6476258,6477235
"AT1G18770","1",6473370,6474048
"AT1G08450","1",2668008,2671800
"AT1G05160","1",1487640,1489828
"AT1G18760","1",6471150,6471824
"AT1G69990","1",26360235,26362010
"AT1G54730","1",20424471,20429978
"AT1G64670","1",24030990,24033474
"AT1G13635","1",4674248,4675784
"AT1G64660","1",24028977,24030537
"AT1G47128","1",17283139,17285609
"AT1G13630","1",4669784,4672826
"AT1G69960","1",26348892,26350511
"AT1G05190","1",1502515,1503738
"AT1G47056","1",17276103,17277659
"AT1G46984","1",17274722,17275834
"AT1G05200","1",1505642,1509002
"AT1G05470","1",1608558,1611291
"AT1G69935","1",26342072,26343082
"AT1G05460","1",1601357,1604658
"AT1G64640","1",24022482,24023151
"AT1G18790","1",6478851,6480043
"AT1G64650","1",24023805,24026336
"AT1G13640","1",4677276,4679144
"AT1G18800","1",6481466,6483463
"AT1G69940","1",26343549,26344971
"AT1G47200","1",17298181,17298723
"AT1G05205","1",1509352,1510249
"AT1G49910","1",18479025,18481271
"AT1G69523","1",26129827,26131157
"AT1G69970","1",26353900,26354256
"AT1G54720","1",20422831,20423754
"AT1G28600","1",10051228,10053073
"AT1G69980","1",26356559,26357647
"AT1G69520","1",26128386,26129602
"AT1G64680","1",24036071,24037062
"AT1G46912","1",17272691,17273629
"AT1G05490","1",1618795,1623195
"AT1G13620","1",4668494,4669225
"AT1G46696","1",17261860,17264183
"AT1G46768","1",17266046,17266507
"AT1G46840","1",17270185,17271706
"AT1G64690","1",24038069,24038890
"AT1G54710","1",20417019,20420733
"AT1G64610","1",23998920,24001297
"AT1G69890","1",26323426,26324527
"AT1G22360","1",7895068,7897527
"AT1G54560","1",20371649,20379745
"AT1G35660","1",13192743,13197655
"AT1G69660","1",26199623,26200603
"AT1G69830","1",26288518,26293003
"AT1G69670","1",26202169,26204442
"AT1G61610","1",22733472,22736509
"AT1G69650","1",26197498,26198821
"AT1G27595","1",9596475,9602917
"AT1G69680","1",26205148,26206568
"AT1G69700","1",26220337,26221663
"AT1G69810","1",26277238,26279116
"AT1G35670","1",13205456,13208058
"AT1G13900","1",4753494,4755554
"AT1G69690","1",26216449,26217426
"AT1G69820","1",26283312,26284134
"AT1G54550","1",20369689,20370777
"AT1G61600","1",22729816,22731182
"AT1G54540","1",20367702,20368421
"AT1G05320","1",1554856,1557658
"AT1G27610","1",9607111,9607577
"AT1G27600","1",9604083,9605881
"AT1G05330","1",1558170,1558583
"AT1G05340","1",1559079,1559646
"AT1G54520","1",20363565,20365874
"AT1G05350","1",1560891,1564005
"AT1G35750","1",13253398,13255570
"AT1G61667","1",22767674,22768269
"AT1G35820","1",13308119,13309257
"AT1G54530","1",20366505,20366888
"AT1G13890","1",4751581,4752844
"AT1G35780","1",13277778,13280113
"AT1G08260","1",2590944,2606892
"AT1G13880","1",4749603,4750967
"AT1G13870","1",4747437,4748345
"AT1G47395","1",17383117,17383269
"AT1G08250","1",2588994,2590235
"AT1G61660","1",22754003,22756171
"AT1G69710","1",26222325,26226530
"AT1G08190","1",2567652,2573142
"AT1G49930","1",18484932,18485639
"AT1G54570","1",20380649,20384953
"AT1G13960","1",4776622,4779043
"AT1G61640","1",22746629,22749053
"AT1G69740","1",26232197,26234713
"AT1G61620","1",22737653,22739209
"AT1G13910","1",4755955,4757814
"AT1G69750","1",26236352,26237316
"AT1G08180","1",2564741,2565076
"AT1G13950","1",4773631,4774668
"AT1G54575","1",20387106,20387414
"AT1G08200","1",2574259,2576609
"AT1G61630","1",22744207,22746111
"AT1G27570","1",9575538,9582376
"AT1G27580","1",9589933,9591075
"AT1G13930","1",4761091,4761558
"AT1G08220","1",2581574,2583288
"AT1G13940","1",4762703,4765923
"AT1G13920","1",4758188,4759754
"AT1G08170","1",2562941,2563672
"AT1G54580","1",20389572,20390770
"AT1G69780","1",26259166,26260465
"AT1G54590","1",20391560,20393457
"AT1G69720","1",26227178,26228419
"AT1G69790","1",26266838,26268818
"AT1G27590","1",9592293,9593912
"AT1G35680","1",13208777,13210246
"AT1G69760","1",26240094,26240627
"AT1G69730","1",26228703,26231339
"AT1G69770","1",26248496,26253519
"AT1G79460","1",29890568,29894436
"AT1G35730","1",13227324,13229796
"AT1G35720","1",13225304,13226939
"AT1G08160","1",2559672,2560337
"AT1G35710","1",13220940,13224386
"AT1G47260","1",17321384,17323347
"AT1G47390","1",17379544,17380656
"AT1G54510","1",20358603,20362006
"AT1G54620","1",20400437,20401015
"AT1G27550","1",9568813,9569330
"AT1G27540","1",9566608,9567849
"AT1G13750","1",4715490,4718091
"AT1G05220","1",1511943,1512656
"AT1G54630","1",20401642,20402919
"AT1G27530","1",9562761,9563887
"AT1G47300","1",17339561,17340972
"AT1G05230","1",1513388,1517024
"AT1G28640","1",10067563,10069109
"AT1G05400","1",1584746,1585244
"AT1G05240","1",1521202,1522447
"AT1G13770","1",4721717,4724345
"AT1G69840","1",26293932,26295150
"AT1G13760","1",4720365,4721101
"AT1G49940","1",18488661,18490820
"AT1G69850","1",26296945,26300407
"AT1G54640","1",20403892,20404807
"AT1G64600","1",23995996,23998625
"AT1G13730","1",4710519,4712332
"AT1G69880","1",26321540,26322794
"AT1G61680","1",22772455,22774687
"AT1G13710","1",4702932,4704592
"AT1G47270","1",17326828,17328564
"AT1G27520","1",9558752,9562091
"AT1G13780","1",4724681,4726314
"AT1G47280","1",17332241,17334310
"AT1G13740","1",4713969,4715158
"AT1G61670","1",22770132,22772258
"AT1G61590","1",22723691,22726022
"AT1G64570","1",23978868,23983925
"AT1G64590","1",23993592,23995200
"AT1G69860","1",26309628,26312174
"AT1G35830","1",13321214,13322122
"AT1G64580","1",23985078,23986649
"AT1G69870","1",26316208,26320097
"AT1G05385","1",1582747,1583648
"AT1G69600","1",26182470,26183198
"AT1G64550","1",23968850,23973369
"AT1G47370","1",17365898,17368703
"AT1G49920","1",18481798,18484233
"AT1G05300","1",1545258,1547709
"AT1G05290","1",1539152,1540546
"AT1G13810","1",4734088,4735164
"AT1G13800","1",4731056,4733707
"AT1G08315","1",2620500,2621477
"AT1G13980","1",4789587,4794397
"AT1G05360","1",1564816,1567278
"AT1G13970","1",4779742,4781882
"AT1G05310","1",1550615,1552434
"AT1G79450","1",29887831,29889904
"AT1G08270","1",2606848,2607337
"AT1G13820","1",4735622,4737617
"AT1G08280","1",2608408,2609604
"AT1G47380","1",17373004,17375305
"AT1G08290","1",2610680,2613180
"AT1G08300","1",2614774,2618823
"AT1G13830","1",4739999,4740926
"AT1G08320","1",2622113,2627451
"AT1G05370","1",1569418,1572280
"AT1G05260","1",1529827,1531271
"AT1G69630","1",26191640,26193174
"AT1G69640","1",26193933,26195466
"AT1G64520","1",23956459,23958120
"AT1G64530","1",23959820,23962896
"AT1G05250","1",1525924,1527169
"AT1G69620","1",26189900,26191081
"AT1G69610","1",26186954,26189349
"AT1G64540","1",23966909,23968425
"AT1G47350","1",17358447,17360722
"AT1G47310","1",17343082,17344618
"AT1G05380","1",1577231,1582190
"AT1G47340","1",17354123,17356494
"AT1G79470","1",29894772,29896661
"AT1G13790","1",4727438,4730229
"AT1G05270","1",1531806,1534305
"AT1G05280","1",1535444,1537414
"AT1G14000","1",4797606,4800043
"AT1G47330","1",17351149,17353739
"AT1G08465","1",2676033,2679382
"AT1G18720","1",6458020,6459658
"AT1G08660","1",2757116,2759677
"AT1G45231","1",17148019,17151194
"AT1G45243","1",17147058,17147849
"AT1G13420","1",4604871,4605866
"AT1G08650","1",2752206,2753232
"AT1G61370","1",22642096,22645147
"AT1G61380","1",22646277,22649401
"AT1G21410","1",7497479,7499386
"AT1G13430","1",4606530,4607585
"AT1G61390","1",22650338,22653639
"AT1G55790","1",20852685,20856069
"AT1G61360","1",22637867,22640974
"AT1G49970","1",18501936,18504462
"AT1G08640","1",2748714,2751209
"AT1G45233","1",17152956,17154662
"AT1G18490","1",6367116,6368640
"AT1G45207","1",17130703,17133548
"AT1G61350","1",22634099,22635820
"AT1G08670","1",2760419,2761551
"AT1G64910","1",24115324,24116667
"AT1G64900","1",24113283,24114803
"AT1G64890","1",24109752,24111165
"AT1G21440","1",7502325,7504103
"AT1G64920","1",24117440,24118798
"AT1G54940","1",20481690,20484541
"AT1G73670","1",27700212,27703168
"AT1G64930","1",24120926,24122461
"AT1G61400","1",22654638,22657774
"AT1G05040","1",1447758,1448448
"AT1G18480","1",6361639,6362814
"AT1G21430","1",7500845,7502186
"AT1G45201","1",17123889,17128462
"AT1G61320","1",22617370,22619718
"AT1G54930","1",20478267,20479671
"AT1G61330","1",22622975,22624527
"AT1G18485","1",6363172,6366084
"AT1G13440","1",4608465,4610494
"AT1G61410","1",22658708,22659064
"AT1G33970","1",12349614,12350960
"AT1G33990","1",12355909,12357894
"AT1G18560","1",6385614,6388005
"AT1G36095","1",13491370,13492725
"AT1G18570","1",6389765,6391026
"AT1G70220","1",26446330,26448009
"AT1G36100","1",13494652,13495215
"AT1G18550","1",6381656,6384340
"AT1G18580","1",6396144,6398005
"AT1G45230","1",17169874,17171381
"AT1G70190","1",26430616,26431242
"AT1G05060","1",1451255,1452858
"AT1G70210","1",26440015,26441980
"AT1G45332","1",17172507,17176683
"AT1G70200","1",26432514,26434351
"AT1G79410","1",29868037,29869584
"AT1G21450","1",7509721,7511502
"AT1G08620","1",2737554,2743370
"AT1G08610","1",2733788,2735467
"AT1G18510","1",6373295,6374090
"AT1G08630","1",2743948,2745685
"AT1G28690","1",10080042,10081604
"AT1G18500","1",6369347,6372861
"AT1G08590","1",2718859,2721948
"AT1G05055","1",1448913,1450852
"AT1G21400","1",7493492,7496240
"AT1G54880","1",20461038,20461558
"AT1G18540","1",6377448,6378548
"AT1G13450","1",4612999,4615115
"AT1G54890","1",20463107,20464407
"AT1G18530","1",6376783,6377256
"AT1G13460","1",4616504,4618180
"AT1G18520","1",6375051,6376178
"AT1G61940","1",22897399,22898575
"AT1G54950","1",20490528,20491275
"AT1G08720","1",2774089,2779077
"AT1G04980","1",1413869,1416120
"AT1G18410","1",6336528,6342460
"AT1G45190","1",17104406,17104924
"AT1G54980","1",20507375,20508355
"AT1G52140","1",19407559,19408185
"AT1G54970","1",20505000,20506238
"AT1G31010","1",11054926,11056873
"AT1G33940","1",12330924,12332785
"AT1G04985","1",1416563,1418291
"AT1G08730","1",2779963,2788325
"AT1G08700","1",2769885,2771348
"AT1G21500","1",7530047,7530954
"AT1G17520","1",6024959,6027224
"AT1G18400","1",6331464,6333576
"AT1G55010","1",20517078,20517403
"AT1G33920","1",12319905,12320870
"AT1G04970","1",1411216,1413431
"AT1G21520","1",7534533,7534733
"AT1G52100","1",19383291,19385123
"AT1G55020","1",20525798,20530143
"AT1G04990","1",1419368,1421454
"AT1G45165","1",17090869,17091201
"AT1G45170","1",17096233,17097910
"AT1G54990","1",20511565,20513489
"AT1G52130","1",19400619,19402363
"AT1G52110","1",19386789,19389740
"AT1G21510","1",7531534,7532505
"AT1G55000","1",20514762,20516166
"AT1G45180","1",17099335,17101683
"AT1G33930","1",12323888,12327084
"AT1G52120","1",19396200,19397857
"AT1G55800","1",20856922,20858235
"AT1G54960","1",20500058,20503587
"AT1G27870","1",9706657,9707298
"AT1G21470","1",7516709,7517179
"AT1G52180","1",19424944,19425928
"AT1G55750","1",20840449,20845135
"AT1G05020","1",1435384,1437345
"AT1G21480","1",7519116,7521426
"AT1G64970","1",24134337,24135993
"AT1G30970","1",11040613,11043593
"AT1G79400","1",29864992,29867840
"AT1G64950","1",24127587,24129119
"AT1G21460","1",7512030,7513281
"AT1G30950","1",11036180,11037508
"AT1G18460","1",6352682,6355971
"AT1G30960","1",11037755,11039977
"AT1G64960","1",24129918,24134049
"AT1G18470","1",6356407,6360057
"AT1G05030","1",1438324,1441385
"AT1G64940","1",24123789,24125324
"AT1G05010","1",1431419,1432695
"AT1G36150","1",13528257,13529470
"AT1G27850","1",9699265,9703701
"AT1G30990","1",11052130,11053063
"AT1G52155","1",19417666,19419591
"AT1G33950","1",12333046,12339182
"AT1G31000","1",11053377,11054561
"AT1G17510","1",6023704,6024211
"AT1G36180","1",13546047,13558339
"AT1G27860","1",9704558,9706238
"AT1G18420","1",6343330,6345689
"AT1G64980","1",24137840,24138619
"AT1G18440","1",6345994,6347686
"AT1G18450","1",6348199,6351766
"AT1G36160","1",13534196,13543773
"AT1G33960","1",12346555,12348184
"AT1G27820","1",9691628,9692560
"AT1G21475","1",7524086,7524631
"AT1G52160","1",19420911,19424419
"AT1G27460","1",9534977,9537424
"AT1G61930","1",22893218,22893829
"AT1G64760","1",24054220,24056194
"AT1G49900","1",18474108,18477643
"AT1G45976","1",17199371,17200680
"AT1G27700","1",9640394,9641752
"AT1G70070","1",26390016,26394148
"AT1G61490","1",22685154,22688267
"AT1G70060","1",26383789,26389568
"AT1G27695","1",9639214,9640002
"AT1G46264","1",17224904,17226183
"AT1G27430","1",9521045,9526928
"AT1G13550","1",4637072,4638315
"AT1G13540","1",4635474,4636708
"AT1G61480","1",22681420,22684404
"AT1G69450","1",26107120,26110006
"AT1G36020","1",13433919,13434340
"AT1G69410","1",26089301,26090194
"AT1G69420","1",26093690,26096736
"AT1G27410","1",9517226,9518743
"AT1G61460","1",22674268,22676735
"AT1G27400","1",9515230,9516725
"AT1G27720","1",9643351,9647376
"AT1G70110","1",26406238,26408323
"AT1G55760","1",20847117,20848507
"AT1G36030","1",13436586,13436828
"AT1G69430","1",26098025,26099077
"AT1G70080","1",26394669,26397565
"AT1G69440","1",26101565,26105016
"AT1G70090","1",26400927,26402099
"AT1G27710","1",9642550,9643188
"AT1G27420","1",9519108,9520520
"AT1G61820","1",22835452,22838444
"AT1G64780","1",24061021,24062565
"AT1G61470","1",22678185,22679021
"AT1G27690","1",9636681,9638307
"AT1G70040","1",26381233,26381908
"AT1G27440","1",9529265,9531213
"AT1G08500","1",2689110,2689881
"AT1G14110","1",4830297,4831915
"AT1G14120","1",4833648,4834833
"AT1G27670","1",9627715,9628413
"AT1G13590","1",4647979,4648612
"AT1G46480","1",17236903,17237953
"AT1G14130","1",4836041,4837040
"AT1G61790","1",22814390,22815430
"AT1G08490","1",2685980,2688547
"AT1G14080","1",4822580,4824218
"AT1G13600","1",4650787,4651377
"AT1G08470","1",2682262,2683977
"AT1G54780","1",20439533,20440953
"AT1G18710","1",6450781,6452986
"AT1G08480","1",2684340,2685395
"AT1G61780","1",22812822,22814016
"AT1G70120","1",26408921,26409597
"AT1G70020","1",26377370,26378153
"AT1G61500","1",22689729,22692881
"AT1G64720","1",24046887,24048537
"AT1G61800","1",22824527,22826459
"AT1G70030","1",26379218,26380191
"AT1G54820","1",20447370,20450761
"AT1G64740","1",24050114,24052296
"AT1G14140","1",4838131,4839602
"AT1G46336","1",17230411,17230653
"AT1G27680","1",9631630,9634450
"AT1G27435","1",9527956,9528814
"AT1G18690","1",6435153,6436694
"AT1G13570","1",4642528,4643930
"AT1G14160","1",4840798,4841660
"AT1G64700","1",24039931,24040542
"AT1G64710","1",24044638,24046313
"AT1G46408","1",17232135,17232935
"AT1G36070","1",13467164,13470386
"AT1G36050","1",13450467,13453683
"AT1G18680","1",6432133,6433434
"AT1G64850","1",24096548,24097574
"AT1G13500","1",4627789,4629169
"AT1G34030","1",12370285,12371465
"AT1G70160","1",26420159,26422345
"AT1G18610","1",6405779,6408831
"AT1G18600","1",6400647,6402587
"AT1G64860","1",24098497,24100746
"AT1G05085","1",1460988,1461670
"AT1G61900","1",22882508,22884722
"AT1G70150","1",26416898,26419521
"AT1G64830","1",24091271,24092566
"AT1G34040","1",12374433,12376179
"AT1G70130","1",26409743,26411801
"AT1G54870","1",20459011,20460417
"AT1G70140","1",26412688,26415048
"AT1G64840","1",24094010,24095164
"AT1G13510","1",4629459,4630687
"AT1G13490","1",4624715,4626064
"AT1G18590","1",6398634,6399674
"AT1G05065","1",1454969,1455220
"AT1G34010","1",12359821,12360838
"AT1G28680","1",10078222,10079763
"AT1G05070","1",1457172,1458531
"AT1G64880","1",24105713,24108780
"AT1G45403","1",17177804,17178415
"AT1G45474","1",17179353,17180439
"AT1G34000","1",12358151,12358902
"AT1G61920","1",22888598,22888768
"AT1G13520","1",4631857,4633223
"AT1G34020","1",12367359,12368965
"AT1G45545","1",17180615,17182957
"AT1G64870","1",24102917,24103831
"AT1G70170","1",26424005,26425141
"AT1G05080","1",1459091,1460579
"AT1G13470","1",4620322,4621542
"AT1G13480","1",4622783,4624043
"AT1G45616","1",17183550,17186534
"AT1G17500","1",6018757,6023201
"AT1G18630","1",6415226,6416283
"AT1G64820","1",24088605,24090558
"AT1G08540","1",2703461,2706696
"AT1G54830","1",20451672,20452325
"AT1G08530","1",2701252,2702952
"AT1G61440","1",22669245,22672323
"AT1G54840","1",20452801,20453932
"AT1G61840","1",22847389,22849833
"AT1G08550","1",2707462,2709387
"AT1G54850","1",20454440,20455994
"AT1G61850","1",22856317,22862225
"AT1G08520","1",2696538,2700819
"AT1G27750","1",9657425,9661750
"AT1G22330","1",7886693,7889241
"AT1G27730","1",9648302,9648985
"AT1G61450","1",22673322,22673921
"AT1G36060","1",13454718,13455662
"AT1G27740","1",9654753,9655806
"AT1G73690","1",27715113,27717018
"AT1G08510","1",2691546,2693409
"AT1G27390","1",9513469,9514912
"AT1G18670","1",6427242,6430696
"AT1G61430","1",22664669,22667769
"AT1G08570","1",2713059,2714312
"AT1G34050","1",12393495,12396006
"AT1G05100","1",1469679,1470698
"AT1G05120","1",1471624,1476067
"AT1G27770","1",9671912,9676010
"AT1G05090","1",1463202,1465622
"AT1G61890","1",22868103,22871163
"AT1G13530","1",4633740,4635129
"AT1G64800","1",24085086,24085433
"AT1G08560","1",2709778,2710710
"AT1G61870","1",22865326,22866552
"AT1G28670","1",10074669,10076250
"AT1G08580","1",2715296,2716351
"AT1G79420","1",29871537,29874166
"AT1G61420","1",22660557,22663596
"AT1G61860","1",22863079,22864619
"AT1G27760","1",9668895,9671322
"AT1G54860","1",20457522,20458434
"AT1G18650","1",6419036,6420413
"AT1G18660","1",6421433,6425489
"AT1G80740","1",30342394,30346831
"AT1G31580","1",11311300,11311712
"AT1G55265","1",20617326,20617853
"AT1G78830","1",29637141,29638508
"AT1G16680","1",5702930,5705537
"AT1G47485","1",17422564,17422839
"AT1G47500","1",17432682,17434805
"AT1G47495","1",17428945,17429813
"AT1G16980","1",5807311,5811488
"AT1G75510","1",28347254,28348629
"AT1G75470","1",28330072,28331300
"AT1G08040","1",2495507,2497973
"AT1G30320","1",10680348,10682852
"AT1G75490","1",28336045,28336665
"AT1G30360","1",10715892,10718799
"AT1G30350","1",10710194,10711664
"AT1G75500","1",28338282,28340091
"AT1G79270","1",29816157,29818811
"AT1G64260","1",23847756,23849915
"AT1G30280","1",10662851,10664570
"AT1G72470","1",27283759,27285660
"AT1G64235","1",23836249,23836620
"AT1G72460","1",27279510,27281533
"AT1G19270","1",6663327,6665845
"AT1G52855","1",19683137,19683343
"AT1G16670","1",5697846,5699492
"AT1G64255","1",23844954,23847206
"AT1G30290","1",10670320,10672740
"AT1G47510","1",17435991,17438296
"AT1G30300","1",10673084,10675061
"AT1G78840","1",29639290,29640817
"AT1G19260","1",6657260,6659569
"AT1G22210","1",7841518,7843812
"AT1G19250","1",6650656,6653053
"AT1G52820","1",19669216,19670321
"AT1G08100","1",2527268,2529078
"AT1G52810","1",19667127,19668237
"AT1G16710","1",5714692,5721782
"AT1G08090","1",2524139,2525920
"AT1G19190","1",6623876,6624832
"AT1G47470","1",17414611,17415132
"AT1G08080","1",2517022,2518546
"AT1G52825","1",19670658,19670894
"AT1G47480","1",17417623,17419296
"AT1G79560","1",29926976,29932308
"AT1G52780","1",19658846,19662025
"AT1G47450","1",17402684,17403193
"AT1G49100","1",18166147,18170105
"AT1G52800","1",19664044,19665362
"AT1G52790","1",19662194,19663301
"AT1G19180","1",6622312,6623271
"AT1G52880","1",19689285,19690430
"AT1G08070","1",2514374,2516599
"AT1G49110","1",18171713,18172246
"AT1G16970","1",5801159,5805724
"AT1G19220","1",6628395,6632779
"AT1G16700","1",5710012,5711694
"AT1G08060","1",2501981,2510488
"AT1G08050","1",2499088,2501311
"AT1G19240","1",6649562,6650384
"AT1G19200","1",6625104,6625856
"AT1G16960","1",5799998,5800624
"AT1G49130","1",18174741,18175936
"AT1G08065","1",2511788,2513341
"AT1G52827","1",19671598,19671894
"AT1G78820","1",29634401,29635768
"AT1G49120","1",18173427,18174416
"AT1G19210","1",6626973,6627530
"AT1G52830","1",19672670,19673559
